Time,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
724.0,4001.2105852707336,3470.8493530509804,3154.2355138523553,4307.603198711582,1245.8233306342795,1898.4090714261417,2040.7067501749843,404.16099705307323,1981.0115058781655,1656.810392883109,1609.930107091016,3144.047247090112,890.283814538426,2157.5971316542923,2829.622326198466,1882.2575228329601,3968.6483313909403,3735.440748854666,2897.5481461440595,1916.1523392561448,3770.47426828337,2192.9463715752104,1358.036236460581,1710.4750757905465,3974.164408391336,3324.4507554287056,3982.1141364671216,2934.942587541393,1294.9853245155477,2027.2615699805287,2252.029585944344,4103.460940687436,3810.2947868710094,1466.3074120225115,1980.2652641571306,1877.9877690857113,3865.773074060458,3767.664756010454,1558.62013819129,4511.294614004775,3967.589089049578,3735.7725379999442,1381.8803219777592,1771.135899044296,3930.9918812210326,2461.9020684967495,1655.7495752896466,3047.1664913190652,3678.5639035994604,2848.0540738273394
725.0,3998.2154400071845,3470.678751614175,3155.2682031926715,4310.419855014079,1243.1363869463833,1897.0747799969274,2040.069197749344,401.2295252547166,1978.9334861147213,1654.6466383076695,1607.510716194602,3145.8210981803527,887.3285410640659,2157.0810321563813,2831.170522853183,1879.6878755578805,3970.9912717638645,3737.3144164903265,2899.0963427987763,1913.5826919810652,3773.4710550413342,2192.8075582931074,1355.3796993359047,1709.0812284153951,3971.169263127787,3324.2801539919,3984.5917308513417,2936.6341921250005,1292.2983808276515,2025.9272785513144,2252.1631696066775,4106.457965112621,3812.8770896542715,1464.7804174791172,1977.9244868632436,1876.1113998095761,3868.1160143696425,3769.5384237258186,1557.3203015211197,4513.998393698256,3969.9320292933166,3737.6462057971453,1379.2237848530829,1769.7420516691445,3933.987550274986,2462.0632110398174,1653.3301843932327,3048.940342409306,3681.4770283702887,2848.7708053458214
726.0,3995.2202947436353,3470.5081501773693,3156.3008925329877,4313.236511316576,1240.449443258487,1895.740488567713,2039.4316453237038,398.2980534563599,1976.855466351277,1652.48288373223,1605.0913252981882,3147.5949492705936,884.3732675897058,2156.5649326584703,2832.7187195078996,1877.1182282828008,3973.33421213118,3739.1880841330008,2900.644539453493,1911.0130447059855,3776.4678417992986,2192.6687450110044,1352.7231622112283,1707.6873810402437,3968.174117864238,3324.1095525550945,3987.069325235562,2938.325796708608,1289.6114371397553,2024.5929871221,2252.296753269011,4109.454989537807,3815.4593924375336,1463.253422935723,1975.5837095693566,1874.235030533441,3870.458954678897,3771.4120914410955,1556.0204648509496,4516.702173391737,3972.2749695429566,3739.5198735869676,1376.5672477284065,1768.3482042939931,3936.9832193289394,2462.224353582885,1650.9107934968188,3050.714193499547,3684.390153141117,2849.4875368643034
727.0,3992.225149480086,3470.3375487405638,3157.333581873304,4316.053167619073,1237.7624995705908,1894.4061971384988,2038.7940928980636,395.36658165800327,1974.7774465878329,1650.3191291567905,1602.6719344017743,3149.3688003608345,881.4179941153458,2156.0488331605593,2834.2669161626163,1874.5485810077212,3975.677152493386,3741.0617517820638,2902.19273610821,1908.4433974309059,3779.464628557263,2192.5299317289014,1350.066625086552,1706.2935336650924,3965.1789726006887,3323.938951118289,3989.546919619782,2940.0174012922153,1286.924493451859,2023.2586956928858,2252.4303369313443,4112.452013962992,3818.0416952207956,1461.7264283923287,1973.2429322754697,1872.3586612573058,3872.8018949882153,3773.2857591562924,1554.7206281807794,4519.405953085218,3974.617909797972,3741.393541370068,1373.9107106037302,1766.9543569188418,3939.978888382893,2462.385496125953,1648.4914026004049,3052.488044589788,3687.3032779119453,2850.2042683827854
728.0,3989.230004216537,3470.166947303758,3158.36627121362,4318.86982392157,1235.0755558826945,1893.0719057092845,2038.1565404724233,392.4351098596466,1972.6994268243886,1648.155374581351,1600.2525435053603,3151.1426514510754,878.4627206409857,2155.5327336626483,2835.815112817333,1871.9789337326415,3978.020092850938,3742.9354194369466,2903.7409327629266,1905.8737501558262,3782.4614153152274,2192.3911184467984,1347.4100879618757,1704.899686289941,3962.1838273371395,3323.7683496814834,3992.024514004002,2941.7090058758226,1284.2375497639628,2021.9244042636715,2252.5639205936777,4115.4490383881775,3820.6239980040577,1460.1994338489344,1970.9021549815827,1870.4822919811706,3875.1448352975917,3775.1594268714166,1553.4207915106092,4522.109732778699,3976.960850057884,3743.2672091470454,1371.2541734790539,1765.5605095436904,3942.974557436846,2462.546638669021,1646.072011703991,3054.261895680029,3690.2164026827736,2850.9209999012674
729.0,3986.234858952988,3469.9963458669527,3159.3989605539364,4321.686480224067,1232.3886121947983,1891.7376142800701,2037.518988046783,389.50363806128996,1970.6214070609444,1645.9916200059115,1597.8331526089464,3152.9165025413163,875.5074471666256,2155.0166341647373,2837.36330947205,1869.4092864575618,3980.3630332042508,3744.8090870971305,2905.2891294176434,1903.3041028807465,3785.458202073192,2192.2523051646954,1344.7535508371993,1703.5058389147896,3959.1886820735904,3323.597748244678,3994.502108388222,2943.40061045943,1281.5506060760665,2020.5901128344572,2252.697504256011,4118.446062813363,3823.20630078732,1458.6724393055401,1968.5613776876958,1868.6059227050355,3877.4877756070214,3777.0330945864744,1552.120954840439,4524.81351247218,3979.3037903222557,3745.140876918446,1368.5976363543775,1764.166662168539,3945.9702264907996,2462.707781212089,1643.652620807577,3056.0357467702697,3693.129527453602,2851.6377314197493
730.0,3983.2397136894388,3469.825744430147,3160.4316498942526,4324.503136526564,1229.701668506902,1890.4033228508558,2036.8814356211428,386.5721662629333,1968.5433872975002,1643.827865430472,1595.4137617125325,3154.690353631557,872.5521736922656,2154.5005346668263,2838.9115061267667,1866.8396391824822,3982.705973553702,3746.6827547621433,2906.83732607236,1900.7344556056669,3788.4549888311562,2192.1134918825924,1342.097013712523,1702.1119915396382,3956.193536810041,3323.4271468078723,3996.979702772442,2945.0922150430374,1278.8636623881703,2019.2558214052428,2252.8310879183446,4121.443087238548,3825.788603570582,1457.1454447621459,1966.2206003938088,1866.7295534289003,3879.8307159164992,3778.906762301472,1550.8211181702688,4527.517292165661,3981.6467305906904,3747.014544684766,1365.9410992297012,1762.7728147933876,3948.965895544753,2462.8689237551566,1641.233229911163,3057.8095978605106,3696.04265222443,2852.3544629382313
731.0,3980.2445684258896,3469.6551429933415,3161.464339234569,4327.319792829061,1227.0147248190058,1889.0690314216415,2036.2438831955026,383.64069446457665,1966.465367534056,1641.6641108550325,1592.9943708161186,3156.464204721798,869.5969002179055,2153.9844351689153,2840.4597027814834,1864.2699919074025,3985.0489138996354,3748.5564224315544,2908.385522727077,1898.1648083305872,3791.4517755891206,2191.9746786004894,1339.4404765878467,1700.7181441644868,3953.198391546492,3323.2565453710667,3999.457297156662,2946.783819626645,1276.176718700274,2017.9215299760285,2252.964671580678,4124.440111663734,3828.370906353844,1455.6184502187516,1963.8798230999219,1864.8531841527652,3882.1736562260207,3780.780430016415,1549.5212815000987,4530.221071859142,3983.9896708628257,3748.8882124464585,1363.2845621050249,1761.3789674182362,3951.9615645987064,2463.0300662982245,1638.8138390147492,3059.5834489507515,3698.9557769952585,2853.0711944567133
732.0,3977.2494231623405,3469.484541556536,3162.497028574885,4330.136449131558,1224.3277811311095,1887.7347399924272,2035.6063307698623,380.70922266622,1964.3873477706118,1639.500356279593,1590.5749799197047,3158.238055812039,866.6416267435454,2153.4683356710043,2842.0078994362,1861.7003446323229,3987.391854242365,3750.4300901049724,2909.9337193817937,1895.5951610555076,3794.448562347085,2191.8358653183864,1336.7839394631703,1699.3242967893354,3950.203246282943,3323.085943934261,4001.9348915408823,2948.475424210252,1273.4897750123778,2016.5872385468142,2253.0982552430114,4127.437136088919,3830.953209137106,1454.0914556753573,1961.539045806035,1862.97681487663,3884.5165965355827,3782.6540977313075,1548.2214448299285,4532.924851552623,3986.3326111383326,3750.7618802039356,1360.6280249803485,1759.9851200430849,3954.95723365266,2463.1912088412923,1636.3944481183353,3061.3573000409924,3701.8689017660868,2853.7879259751953
733.0,3974.2542778987913,3469.3139401197304,3163.529717915201,4332.953105434055,1221.6408374432133,1886.4004485632129,2034.968778344222,377.77775086786335,1962.3093280071676,1637.3366017041535,1588.1555890232908,3160.01190690228,863.6863532691854,2152.9522361730933,2843.556096090917,1859.1306973572432,3989.7347945821757,3752.3037577820396,2911.4819160365105,1893.025513780428,3797.4453491050494,2191.6970520362834,1334.127402338494,1697.930449414184,3947.208101019394,3322.9153424974556,4004.4124859251024,2950.1670287938596,1270.8028313244815,2015.2529471176,2253.231838905345,4130.434160514104,3833.535511920368,1452.564461131963,1959.198268512148,1861.1004456004948,3886.859536845181,3784.5277654461543,1546.9216081597583,4535.628631246104,3988.67555141691,3752.6355479575727,1357.9714878556722,1758.5912726679335,3957.9529027066133,2463.35235138436,1633.9750572219214,3063.1311511312333,3704.782026536915,2854.5046574936773
734.0,3971.259132635242,3469.143338682925,3164.5624072555174,4335.769761736552,1218.953893755317,1885.0661571339986,2034.3312259185818,374.8462790695067,1960.2313082437233,1635.172847128714,1585.7361981268768,3161.7857579925208,860.7310797948253,2152.4361366751823,2845.1042927456338,1856.5610500821635,3992.0777349193277,3754.1774254624315,2913.0301126912273,1890.4558665053482,3800.442135863014,2191.5582387541804,1331.4708652138177,1696.5366020390327,3944.2129557558446,3322.74474106065,4006.8900803093225,2951.858633377467,1268.1158876365853,2013.9186556883856,2253.3654225676783,4133.43118493929,3836.1178147036303,1451.0374665885688,1956.857491218261,1859.2240763243597,3889.2024771548126,3786.4014331609596,1545.6217714895881,4538.332410939585,3991.0184916982844,3754.5092157077124,1355.3149507309959,1757.197425292782,3960.9485717605667,2463.513493927428,1631.5556663255074,3064.905002221474,3707.6951513077433,2855.2213890121593
